Puzzle,Clues,Category,Difficulty,Validated
3....6..9.68.57.3.42.......1.........7...2.6......93257.168..92.96.758...5.92..47,34,2,0,Valid
3.1...7...5.6.8...76.3.9..523..9....1..58..9.6.94.7....73.....1....6.95..1..53.2.,32,2,0,Valid
31.......4..89.12...91.78....3.5...65..3..21889...23.46.1.2.9..74...3....8..7....,33,0,0,Valid
32......9..9..5.6..5.26.13.2134.......48....2..7...514...78..45....14....42.367..,33,0,0,Valid
32...7.6...956....1.6..9.27213.........7....1.97.1...5.3...59.4..59...1.9..6.18..,32,0,0,Valid
39......8...36...9....792.541...7.9658.9......7.684.......41...9.....45.8.15..36.,32,2,0,Valid
4..1....915..7836467...9.25213764...5..9..63..965.2...36..25.7..256...4......3.5.,40,1,0,Valid
4..2....9..9..8..7.6...7.5332.1567..1.....4..................268..9.........3....,23,4,0,Valid
4.7.....8..1..5.7.8..6.9.4..2.3...9.3.8.1....5..2..3........586..6.....2......7..,25,4,0,Valid
43.....8..1....459....69...12..46....472..91........3..5....7.28...3..919625.....,30,3,0,Valid
47.213....3.4..1.7...56.3...2.15.6791..............2158..79..53.17...9629....5...,34,2,0,Valid
5....81...89.142...245....3.134....74......626..32...5.3..459...4.9..631..21..57.,36,0,0,Valid
5...7...9....1.45726.4.91.3.235.7..845...1...79.6...1.63...2..5.....57.....1..82.,34,0,0,Valid
5..13.7..1.3.7...6...4.....2.6.8.9353.4961..779.3256...3.8.71...27..359.96.5..3..,40,1,0,Valid
5.4.3..89..9268.4..2.4..........6.9...78..36.89.3.2....3..859..7.5.2.6...8...45..,33,0,0,Valid
5.61.......7.681..1.9...2.7312.5..9.........2...2.3.466215.....85.6..9.49..8..6.1,34,0,0,Valid
51....6...671...3......9.4.1.37....4..49315..79....3..34......285.4..9639....2..1,33,2,0,Valid
54..2.........3...26...91433.26.5.984.67.......8.3...56....4..1..4..2..697.356...,33,0,0,Valid
541.............56...45..23...68....3.6.71..2.7952...1..57..2387.2.15.949..34.5..,36,1,0,Valid
6.....4.5..1..7.8.....89..6..2..8..3.....261436974.....1.894..74.32......76...8..,32,2,0,Valid
6...2847.......15.1.7.69.8.....5..984...9.312.9..13..4..4.8193..3......59.6.....1,34,0,0,Valid
64....7...7.28.1..9....723..2.5....8....3..6..8..4.....9..1....4...98.1..........,24,4,0,Valid
658...2....9.7...8...6.941531...6.9.4.5..8.....6.1.534....6...3.....165.9.45.37..,34,0,0,Valid
67...389.38........1.....5.......9.....96..318..2.76...9.7.1..3...8........6..5..,25,4,0,Valid
7....4..99..15.3.7.......2414.3.....35.8...16..8.1......59.6743..97.16.24.6.2..9.,35,1,0,Valid
7....5......3..2...85.6....1......9.4.6..7......2....539.....4..4..73.12...4..9..,24,5,346,Valid
7...54.895.619...74..26...3..2..6.9.3...4.7.2..75.9..42......75.6.9.24.....4.582.,36,1,0,Valid
7..1....5..56...23..1.5......37...6..5..2.......91..42.1...72..87..6..........3..,25,4,0,Valid
7..1....9.3.458...4..67..25.2396..5..67.4..1..9.5.17.2.4......89.2..5..1.8.......,33,2,0,Valid
7.41.5....5.42..3.....8925.1..2..4.8276......4....1.265..8..9....7593....9...45..,33,2,0,Valid
7.6.2..8..12...3674...8.1...2.96...854.3..691..78.4..2.61.....4....9..5.9..7.....,33,2,0,Valid
7.812..6......4.5..46.....83..45..........17..973.6...5..8...426..9.5.8.981.....5,31,0,0,Valid
8.......9.2...73484..3...26....76...5..819263.9....41.35..927.....58..3...2..3..1,34,0,0,Valid
8.......97.2.5.....6.47...312...4.8.45..........3.5.1......3.56...64....94....8.1,27,4,0,Valid
8...4.6.9...279...91.3...4513..84......75..21.7892.3...9...745..64....3.3....6...,34,2,0,Valid
8..1..5.........7..65..9.34..63....543...28...8.6....77..59.....2..4...........1.,25,4,0,Valid
8.12.4..7.64..7...72.69...31...6..985.9.724...7..1.3....698.....8.........3..16.4,33,2,0,Valid
8.52...4646.51...7.....7.5.2.43...89.57.91.6.6....43..........4746.8....9821.56..,36,0,0,Valid
8.9234.67.6..5..98.578....3....48......9...3..48.....2..5.91.466....5...2.......9,31,3,0,Valid
84......7.3.2.........5..621..764..9..8...7.4.....5......6.7....5....9..9.1...4..,24,5,325,Valid
89............7.8....6..1..........3..59.1......2...4..3.....155.1.3.8...268..7..,23,4,0,Valid
9...6...7.784..2.......9...132.........891.2.6....7..1..3.5...67.5.8...4.947..5..,29,0,0,Valid
9.7....5.4...36....2.4..7...13.....75.48..213...2..5..341.729..6..9.5....9..4....,31,0,0,Valid
